Dbg: 18939664 - 3856 | 560 496 132019-02-25T15:46:35;
Connected: COM2019-02-25T15:46:37;
Sending: p631.762786586512019-02-25T15:52:55;
Sending: p643.129574612342019-02-25T15:52:56;
Sending: p642.173276697712019-02-25T15:52:57;
Sending: p686.471934308072019-02-25T15:52:58;
Sending: p616.601351624492019-02-25T15:52:59;
Sending: p597.844518162582019-02-25T15:53:00;
Sending: p679.433811249842019-02-25T15:53:01;
Sending: p679.434293399432019-02-25T15:53:02;
Sending: p690.110794063042019-02-25T15:53:04;
Sending: p668.706595531102019-02-25T15:53:05;
Sending: p679.00784380132019-02-25T15:53:06;
Sending: p689.50237021552019-02-25T15:53:07;
Sending: p662.384802996822019-02-25T15:53:08;
Sending: p678.071629838732019-02-25T15:53:09;
Sending: p716.794436150112019-02-25T15:53:10;
Sending: p710.728042004832019-02-25T15:53:11;
Sending: p742.267526143162019-02-25T15:53:12;
Sending: p734.717793593742019-02-25T15:53:13;
Sending: p719.989119301652019-02-25T15:53:14;
Sending: p688.982312776552019-02-25T15:53:15;
Sending: p673.918051367462019-02-25T15:53:16;
Sending: p755.900663241272019-02-25T15:53:17;
Sending: p765.390738511782019-02-25T15:53:18;
Sending: p775.123986724712019-02-25T15:53:19;
Sending: p781.865860351862019-02-25T15:53:20;
Sending: p795.358635802412019-02-25T15:53:21;
Sending: p719.165645957412019-02-25T15:53:22;
Sending: p711.718719255392019-02-25T15:53:23;
Sending: p731.071139789902019-02-25T15:53:25;
Sending: p720.445451747772019-02-25T15:53:26;
Sending: p798.776353748982019-02-25T15:53:27;
Sending: p780.652752433672019-02-25T15:53:28;
Sending: p820.734388032952019-02-25T15:53:29;
Sending: p824.610064689042019-02-25T15:53:30;
Sending: p805.875064583172019-02-25T15:53:31;
Sending: p775.224639724292019-02-25T15:53:32;
Sending: p756.191615267042019-02-25T15:53:33;
Sending: p830.572895584592019-02-25T15:53:34;
Sending: p786.740404169942019-02-25T15:53:35;
Sending: p809.452834924152019-02-25T15:53:36;
Sending: p818.163366376732019-02-25T15:53:37;
Sending: p820.197750471392019-02-25T15:53:38;
Sending: p782.674888408192019-02-25T15:53:39;
Sending: p864.849423652582019-02-25T15:53:40;
Sending: p871.865821295542019-02-25T15:53:41;
Sending: p863.59123118432019-02-25T15:53:42;
Sending: p809.241807454862019-02-25T15:53:43;
Sending: p820.090125266922019-02-25T15:53:44;
Sending: p893.456920555962019-02-25T15:53:46;
Sending: p947.953344188562019-02-25T15:53:47;
Sending: p949.108851628552019-02-25T15:53:48;
Sending: p952.323742111452019-02-25T15:53:49;
Sending: p913.015118212462019-02-25T15:53:50;
Sending: p987.257493519192019-02-25T15:53:51;
Sending: p1040.90755368782019-02-25T15:53:52;
Sending: p892.503936492682019-02-25T15:53:53;
Sending: p979.209663698002019-02-25T15:53:54;
Sending: p973.493049064172019-02-25T15:53:55;
Sending: p985.103265390762019-02-25T15:53:56;
Sending: p966.503206017742019-02-25T15:53:57;
Sending: p990.227659731082019-02-25T15:53:58;
Sending: p913.993681830892019-02-25T15:53:59;
Sending: p1002.91270541112019-02-25T15:54:00;
Sending: p977.477542344882019-02-25T15:54:01;
Sending: p990.634642288522019-02-25T15:54:02;
Sending: p1003.46305186362019-02-25T15:54:03;
Sending: p1016.9191546942019-02-25T15:54:04;
Sending: p1058.22701273762019-02-25T15:54:05;
Sending: p1099.04045619132019-02-25T15:54:06;
Sending: p1004.7019384962019-02-25T15:54:08;
Sending: p1081.93571044662019-02-25T15:54:09;
Sending: p1131.40572697082019-02-25T15:54:10;
Sending: p1076.20961860782019-02-25T15:54:11;
Sending: p1073.66023493272019-02-25T15:54:12;
Sending: p1078.16449471282019-02-25T15:54:13;
Sending: p1050.61433505252019-02-25T15:54:14;
Sending: p1081.48296201882019-02-25T15:54:15;
Sending: p1107.09907963812019-02-25T15:54:16;
